,Positive,Negative,Proportion
"('VT12', '20180222-71WIsaSV-VV__R2F4_RN2RP1')",0,2291,0.0
"('VT13', '20180222-24WIsaVL-VG__R3F13_RN1RP2')",0,4235,0.0
"('VT6', '20180222-24WIooVH-VG__R9F1_RN1RP3')",0,2577,0.0
"('VT6', '20180222-24WIooVL-VG__R9F4_RN1RP3')",0,2511,0.0
"('VT6', '20180222-24WIooVL-VG__R9F3_RN1RP2')",0,2487,0.0
"('VT6', '20180222-24WIooVL-VG__R9F2_RN1RP1')",0,2501,0.0
"('VT6', '20180222-71WIooPA-VV__R2F20_RN2RP3')",0,2248,0.0
"('VT6', '20180222-71WIooPA-VV__R2F19_RN2RP2')",0,2242,0.0
"('VT6', '20180222-71WIooPA-VV__R2F18_RN2RP1')",0,2248,0.0
"('VT13', '20180222-24WIooVH-VG__R5F11_RN1RP2')",0,2351,0.0
"('VT13', '20180222-71WIooPA-VV__R2F20_RN2RP3')",0,1971,0.0
"('VT9', '20180222-24WIooVL-VG__R9F4_RN1RP3')",0,2242,0.0
"('VT13', '20180222-71WIooPA-VV__R2F19_RN2RP2')",0,1965,0.0
"('VT6', '20180222-71OOooPA-VV__R5F2_RN1RP2')",0,2300,0.0
"('VT6', '20180222-71OOooPA-VV__R5F1_RN1RP1')",0,2294,0.0
"('VT13', '20180222-71WIooPA-VV__R2F18_RN2RP1')",0,1971,0.0
"('VT13', '20180222-24OOooVH-VG__R9F11_RN1RP3')",0,2219,0.0
"('VT6', '20180222-24OOooVH-VG__R9F11_RN1RP3')",0,2491,0.0
"('VT13', '20180222-24OOooVH-VG__R9F10_RN1RP2')",0,2223,0.0
"('VT6', '20180222-24NYooVH-VG__R9F8_RN1RP3')",0,2491,0.0
"('VT13', '20180222-24OOooVH-VG__R9F9_RN1RP1')",0,2224,0.0
"('VT13', '20180222-24NYooVH-VG__R9F6_RN1RP2')",0,2215,0.0
"('VT6', '20180222-24WIsaVH-VG__R3F11_RN1RP3')",0,2550,0.0
"('VT6', '20180222-71OOooPA-VV__R5F3_RN1RP3')",0,2304,0.0
"('VT9', '20180222-24WIooVL-VG__R9F3_RN1RP2')",0,2218,0.0
"('VT9', '20180222-24WIooVL-VG__R9F2_RN1RP1')",0,2232,0.0
"('VT18', '20180222-24WIooVH-VG__R9F1_RN1RP3')",0,2957,0.0
"('VT17', '20180222-24OOsaVH-VG__R3F20_RN1RP3')",0,2458,0.0
"('VT17', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",0,2204,0.0
"('VT7', '20180222-71OOooPA-VV__R5F3_RN1RP3')",0,2628,0.0
"('VT14', '20180222-24WIsaVH-VG__R3F10_RN1RP2')",0,2159,0.0
"('VT7', '20180222-71OOooPA-VV__R5F1_RN1RP1')",0,2617,0.0
"('VT17', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",0,2215,0.0
"('VT18', '20180222-24WIsaVH-VG__R3F10_RN1RP2')",0,2941,0.0
"('VT18', '20180222-24WIsaVH-VG__R3F11_RN1RP3')",0,2930,0.0
"('VT7', '20180222-24OOooVH-VG__R9F11_RN1RP3')",0,2819,0.0
"('VT7', '20180222-24OOooVH-VG__R9F9_RN1RP1')",0,2823,0.0
"('VT7', '20180222-24NYooVH-VG__R9F8_RN1RP3')",0,2816,0.0
"('VT7', '20180222-24NYooVH-VG__R9F5_RN1RP1')",0,2812,0.0
"('VT7', '20180222-24WIsaVH-VG__R3F10_RN1RP2')",0,2887,0.0
"('VT6', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",0,2538,0.0
"('VT18', '20180222-24OOooVH-VG__R9F9_RN1RP1')",0,2876,0.0
"('VT18', '20180222-24OOooVH-VG__R9F10_RN1RP2')",0,2875,0.0
"('VT14', '20180222-24WIsaVH-VG__R3F9_RN1RP1')",0,2152,0.0
"('VT18', '20180222-71WIooPA-VV__R2F18_RN2RP1')",0,2625,0.0
"('VT13', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",0,2267,0.0
"('VT18', '20180222-71WIooPA-VV__R2F20_RN2RP3')",0,2626,0.0
"('VT18', '20180222-24WIooVL-VG__R9F2_RN1RP1')",0,2879,0.0
"('VT18', '20180222-24WIooVL-VG__R9F3_RN1RP2')",0,2864,0.0
"('VT18', '20180222-24WIooVL-VG__R9F4_RN1RP3')",0,2888,0.0
"('VT13', '20180222-24NYooVH-VG__R9F5_RN1RP1')",0,2214,0.0
"('VT17', '20180222-24OOsaVH-VG__R3F19_RN1RP2')",0,5747,0.0
"('VT13', '20180222-24WIsaVH-VG__R3F9_RN1RP1')",0,2282,0.0
"('VT12', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",0,2115,0.0
"('VT12', '20180222-71WIooPA-VV__R2F18_RN2RP1')",0,1825,0.0
"('VT12', '20180222-71OOooPA-VV__R5F3_RN1RP3')",0,1880,0.0
"('VT12', '20180222-71OOooPA-VV__R5F2_RN1RP2')",0,1876,0.0
"('VT4', '20180222-71WIsaSV-VV__R2F6_RN2RP3')",0,3160,0.0
"('VT12', '20180222-71OOooPA-VV__R5F1_RN1RP1')",0,1870,0.0
"('VT12', '20180222-24OOooVH-VG__R9F10_RN1RP2')",0,2076,0.0
"('VT4', '20180222-24WIooVH-VG__R5F11_RN1RP2')",0,2556,0.0
"('VT4', '20180222-24WIooVH-VG__R5F10_RN1RP1')",0,2568,0.0
"('VT4', '20180222-24WIooVL-VG__R9F4_RN1RP3')",0,2441,0.0
"('VT4', '20180222-24WIooVL-VG__R9F3_RN1RP2')",0,2417,0.0
"('VT12', '20180222-71WIooPA-VV__R2F19_RN2RP2')",0,1819,0.0
"('VT4', '20180222-24WIooVL-VG__R9F2_RN1RP1')",0,2431,0.0
"('VT4', '20180222-71OOooPA-VV__R5F3_RN1RP3')",0,2234,0.0
"('VT10', '20180222-24NYooVH-VG__R9F5_RN1RP1')",0,2116,0.0
