,Custom_Difference,Matched_Rows
"('VT3', '20180222-57OOsaVH-VT__R6F11_RN1RP1')",50.0,127958
"('VT2', '20180222-24NYsaVH-VG__R3F16_RN1RP2')",62.5,2029
"('VT37', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",66.66666666666666,117878
"('VT37', '20180222-57WIsaVL-VT__R6F5_RN1RP2')",66.66666666666666,114320
"('VT37', '20180222-57WIooVH-VT__R6F16_RN1RP3')",66.66666666666666,109480
"('VT37', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",66.66666666666666,110506
"('VT37', '20180222-57OOsaVH-VT__R6F11_RN1RP1')",66.66666666666666,127959
"('VT15', '20180222-24NYsaVH-VG__R3F16_RN1RP2')",66.66666666666666,2029
"('VT4', '20180222-24NYsaVH-VG__R3F16_RN1RP2')",66.66666666666666,2029
"('VT15', '20180222-57OOsaVH-VT__R6F11_RN1RP1')",66.66666666666666,127959
"('VT5', '20180222-57OOsaVH-VT__R6F11_RN1RP1')",66.66666666666666,127959
"('VT37', '20180222-57WIooVL-VT__R6F19_RN1RP3')",66.66666666666666,91070
"('VT5', '20180222-24NYsaVH-VG__R3F16_RN1RP2')",66.66666666666666,2029
"('VT37', '20180222-24OOooVH-VG__R9F11_RN1RP3')",66.66666666666666,355
"('VT20', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",70.47646295431498,176554
"('VT22', '20180222-57OOooVH-VT__R7F3_RN1RP1')",70.62715300949452,171464
"('VT20', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",70.65651309561053,176415
"('VT24', '20180222-57WIooVL-VT__R6F18_RN1RP2')",70.67878201507888,164310
"('VT22', '20180222-57WIooVH-VT__R6F14_RN1RP1')",70.73606348402771,170323
"('VT24', '20180222-57OOooVH-VT__R7F3_RN1RP1')",70.73798366530649,167870
"('VT19', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",70.77595688422015,170802
"('VT23', '20180222-57WIooVH-VT__R6F14_RN1RP1')",70.79360360726835,166457
"('VT7', '20180222-24WIsaVL-VG__R3F13_RN1RP2')",70.83333333333334,910
"('VT25', '20180222-57OOooVH-VT__R7F3_RN1RP1')",70.89191445939089,171045
"('VT24', '20180222-57WIooVH-VT__R6F14_RN1RP1')",70.91041311985346,167131
"('VT19', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",70.91307477478627,171150
"('VT23', '20180222-57OOooVH-VT__R8F11_RN1RP3')",70.91655470711076,161879
"('VT23', '20180222-57WIooVL-VT__R6F18_RN1RP2')",70.97293733159393,164179
"('VT23', '20180222-57WIooVL-VT__R6F17_RN1RP1')",71.00621447858427,161145
"('VT25', '20180222-57NYooVH-VT__R7F2_RN1RP3')",71.00628060298706,176033
"('VT25', '20180222-70OOooVH-VT__R7F4_RN1RP3')",71.02748400858889,174961
"('VT23', '20180222-57OOooVH-VT__R7F3_RN1RP1')",71.07260864203063,167354
"('VT24', '20180222-57OOooVH-VT__R8F11_RN1RP3')",71.07891896057058,162477
"('VT27', '20180222-57OOooVH-VT__R7F3_RN1RP1')",71.07994296118721,170368
"('VT23', '20180222-57WIooVH-VT__R6F16_RN1RP3')",71.14761283590644,161985
"('VT21', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",71.15393765411592,169116
"('VT23', '20180222-57NYooVH-VT__R7F1_RN1RP2')",71.18525681282283,164649
"('VT25', '20180222-57WIooVH-VT__R6F14_RN1RP1')",71.18674594332415,170234
"('VT24', '20180222-57WIooVH-VT__R6F16_RN1RP3')",71.18827791285895,162252
"('VT24', '20180222-57WIooVL-VT__R6F17_RN1RP1')",71.21043412899665,161657
"('VT22', '20180222-70OOooVH-VT__R7F4_RN1RP3')",71.23566338934589,175094
"('VT19', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",71.242742676882,166803
"('VT27', '20180222-70OOooVH-VT__R7F4_RN1RP3')",71.26645921322987,174286
"('VT22', '20180222-57NYooVH-VT__R7F2_RN1RP3')",71.26701190207089,176341
"('VT22', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",71.28472800560294,170447
"('VT27', '20180222-57WIooVH-VT__R6F14_RN1RP1')",71.36453490757873,169615
"('VT20', '20180222-57OOooVH-VT__R7F3_RN1RP1')",71.38751081602724,178155
"('VT27', '20180222-57NYooVH-VT__R7F2_RN1RP3')",71.40689990175886,175329
"('VT22', '20180222-57WIooVL-VT__R6F18_RN1RP2')",71.41808756288707,168237
"('VT26', '20180222-57WIooVH-VT__R6F14_RN1RP1')",71.42122339756925,165785
"('VT41', '20180222-57WIooVL-VT__R6F18_RN1RP2')",71.42857142857143,114315
"('VT26', '20180222-57WIooVH-VT__R6F16_RN1RP3')",71.4417948551602,160907
"('VT24', '20180222-57NYooVH-VT__R7F1_RN1RP2')",71.45412680156514,165140
"('VT26', '20180222-57OOooVH-VT__R7F3_RN1RP1')",71.48254529872577,166783
"('VT21', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",71.49066656247342,168928
"('VT26', '20180222-57WIooVL-VT__R6F18_RN1RP2')",71.50241484256598,163191
"('VT26', '20180222-57OOooVH-VT__R8F11_RN1RP3')",71.5088506148945,161079
"('VT22', '20180222-57NYooVH-VT__R7F1_RN1RP2')",71.5668634634202,168758
"('VT21', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",71.5769040469175,164824
"('VT24', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",71.58126163788474,166803
"('VT20', '20180222-57WIooVH-VT__R6F14_RN1RP1')",71.58795790095837,177403
"('VT26', '20180222-57WIooVL-VT__R6F17_RN1RP1')",71.67113225502413,160289
"('VT27', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",71.68021808711055,169352
"('VT23', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",71.69680948019817,165165
"('VT24', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",71.72534010499989,165631
"('VT25', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",71.7860948241465,170158
"('VT23', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",71.79595248395138,166429
"('VT26', '20180222-57NYooVH-VT__R7F1_RN1RP2')",71.8019057457704,163818
"('VT22', '20180222-57WIooVH-VT__R6F16_RN1RP3')",71.80618928823228,165987
"('VT23', '20180222-57NYooVH-VT__R6F20_RN1RP1')",71.83571724482555,159236
"('VT22', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",71.87012773658972,169498
"('VT24', '20180222-57NYooVH-VT__R6F20_RN1RP1')",71.91622609573363,159649
"('VT27', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",71.91964367215505,168221
"('VT24', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",71.93622587708096,162971
"('VT23', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",71.95530389309289,161860
"('VT23', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",71.96364095676721,162619
"('VT22', '20180222-57OOooVH-VT__R8F11_RN1RP3')",71.97550067034368,166306
"('VT20', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",71.97755298738262,172834
"('VT26', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",71.99437335653518,165533
"('VT27', '20180222-57WIooVL-VT__R6F18_RN1RP2')",72.01032272188664,167176
"('VT22', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",72.01272596672862,170217
"('VT27', '20180222-57NYooVH-VT__R7F1_RN1RP2')",72.02301724601521,167744
"('VT24', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",72.04679691068738,162400
"('VT25', '20180222-57WIooVL-VT__R6F18_RN1RP2')",72.08990097349593,167872
"('VT25', '20180222-57NYooVH-VT__R7F1_RN1RP2')",72.10347235066133,168450
"('VT20', '20180222-70OOooVH-VT__R7F4_RN1RP3')",72.1118542302021,181682
"('VT25', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",72.17276586518079,168928
"('VT35', '20180222-57WIooVL-VT__R6F19_RN1RP3')",72.19331626784114,139935
"('VT23', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",72.19594191986988,166117
"('VT22', '20180222-57WIooVL-VT__R6F17_RN1RP1')",72.24287504192094,165436
"('VT27', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",72.26494717562976,169393
"('VT26', '20180222-57NYooVH-VT__R6F20_RN1RP1')",72.28818475714436,158111
"('VT24', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",72.30087618673376,166567
"('VT19', '20180222-57OOooVH-VT__R7F3_RN1RP1')",72.30087619576393,172801
"('VT25', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",72.304766033608,169951
"('VT20', '20180222-57NYooVH-VT__R7F1_RN1RP2')",72.31622425047193,175677
"('VT35', '20180222-57WIooVH-VT__R6F15_RN1RP2')",72.39487827315621,144276
"('VT19', '20180222-57WIooVH-VT__R6F14_RN1RP1')",72.3951447996765,171923
"('VT20', '20180222-57WIooVL-VT__R6F18_RN1RP2')",72.3966604223227,175153
"('VT22', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",72.40290019334239,166840
"('VT26', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",72.40838378068716,161861
"('VT19', '20180222-57NYooVH-VT__R7F1_RN1RP2')",72.41101078414438,170063
"('VT26', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",72.41814380685683,164319
"('VT19', '20180222-57WIooVL-VT__R6F18_RN1RP2')",72.41870621813156,169638
"('VT27', '20180222-57OOooVH-VT__R8F11_RN1RP3')",72.42280671878247,165191
"('VT23', '20180222-57WIooVH-VT__R6F15_RN1RP2')",72.4388509876164,157867
"('VT20', '20180222-57NYooVH-VT__R7F2_RN1RP3')",72.44836706443452,182659
"('VT24', '20180222-57WIooVH-VT__R6F15_RN1RP2')",72.44858372227935,158168
"('VT26', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",72.50852536566306,161105
"('VT25', '20180222-57OOooVH-VT__R8F11_RN1RP3')",72.58015401147928,165923
"('VT22', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",72.58704725636747,166282
"('VT27', '20180222-57WIooVH-VT__R6F16_RN1RP3')",72.62780093548814,164902
"('VT19', '20180222-57WIooVH-VT__R6F16_RN1RP3')",72.64011898527274,167658
"('VT25', '20180222-57WIooVH-VT__R6F16_RN1RP3')",72.70637782879945,165851
"('VT19', '20180222-57OOooVH-VT__R8F11_RN1RP3')",72.70764835957763,167762
"('VT24', '20180222-70OOooVH-VT__R7F4_RN1RP3')",72.72575459074382,171951
"('VT27', '20180222-57WIooVL-VT__R6F17_RN1RP1')",72.76457663729157,164503
"('VT35', '20180222-57NYooVH-VT__R6F20_RN1RP1')",72.7712971542368,145709
"('VT21', '20180222-57WIooVL-VT__R6F18_RN1RP2')",72.78629794416342,167363
"('VT27', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",72.83765605731708,165160
"('VT20', '20180222-57OOooVH-VT__R8F11_RN1RP3')",72.83850590837467,173539
"('VT26', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",72.84238904568338,165346
"('VT21', '20180222-57OOooVH-VT__R7F3_RN1RP1')",72.84778419342192,170728
"('VT26', '20180222-57WIooVH-VT__R6F15_RN1RP2')",72.84882462104996,156752
"('VT21', '20180222-57WIooVL-VT__R6F17_RN1RP1')",72.88243547603172,164766
"('VT21', '20180222-57WIooVH-VT__R6F16_RN1RP3')",72.93810817125004,165442
"('VT19', '20180222-57WIooVL-VT__R6F17_RN1RP1')",72.96164023328454,166982
"('VT29', '20180222-57WIooVL-VT__R6F19_RN1RP3')",72.96670358724053,138183
"('VT20', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",72.9764344821076,176439
"('VT20', '20180222-57WIooVH-VT__R6F16_RN1RP3')",72.99153331947356,173510
"('VT22', '20180222-57NYooVH-VT__R6F20_RN1RP1')",73.01657378443561,163486
"('VT21', '20180222-57WIooVH-VT__R6F14_RN1RP1')",73.01809124654861,169840
"('VT23', '20180222-70OOooVH-VT__R7F4_RN1RP3')",73.0242250652188,171482
"('VT21', '20180222-57OOooVH-VT__R8F11_RN1RP3')",73.05465246270025,165556
"('VT27', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",73.1297844149854,165931
"('VT25', '20180222-57WIooVL-VT__R6F17_RN1RP1')",73.13101472180534,165348
"('VT21', '20180222-57NYooVH-VT__R7F1_RN1RP2')",73.16399181062562,168204
"('VT20', '20180222-57WIooVL-VT__R6F17_RN1RP1')",73.18419266858591,172903
