,Custom_Difference,Matched_Rows
"('VT23', '20180222-57NYooVH-VT__R6F20_RN1RP1')",67.4112005031211,67351
"('VT24', '20180222-57NYooVH-VT__R6F20_RN1RP1')",67.98883457640699,67488
"('VT24', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",68.11441430741091,67892
"('VT26', '20180222-57NYooVH-VT__R6F20_RN1RP1')",68.15384342390615,67057
"('VT23', '20180222-57NYooVH-VT__R7F1_RN1RP2')",68.15855590233579,67766
"('VT23', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",68.17924902719497,67746
"('VT22', '20180222-57NYooVH-VT__R7F1_RN1RP2')",68.19182508366308,68856
"('VT20', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",68.33157197484138,69847
"('VT22', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",68.3689976381967,69000
"('VT19', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",68.37001766328183,68439
"('VT20', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",68.38109740760514,69865
"('VT24', '20180222-57NYooVH-VT__R7F1_RN1RP2')",68.43938456716818,67910
"('VT22', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",68.56565838420609,68854
"('VT25', '20180222-57NYooVH-VT__R7F1_RN1RP2')",68.5914878545041,68372
"('VT23', '20180222-57WIooVH-VT__R6F16_RN1RP3')",68.60403028042248,66945
"('VT26', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",68.63670264129664,67490
"('VT26', '20180222-57NYooVH-VT__R7F1_RN1RP2')",68.65284193279989,67437
"('VT22', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",68.69027918531549,68816
"('VT24', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",68.78337051115608,67581
"('VT25', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",68.84622652408505,68654
"('VT25', '20180222-57NYooVH-VT__R7F2_RN1RP3')",68.87194953497571,68628
"('VT23', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",68.91940228860722,67511
"('VT24', '20180222-57WIooVH-VT__R6F16_RN1RP3')",68.93532814824624,67076
"('VT25', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",68.94956544005643,68443
"('VT19', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",68.95710772623816,68625
"('VT27', '20180222-57NYooVH-VT__R7F1_RN1RP2')",68.96049350108079,68521
"('VT22', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",68.98188324061454,69298
"('VT23', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",68.98721562791847,67822
"('VT24', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",69.02720059733018,68272
"('VT21', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",69.07466049208148,68313
"('VT24', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",69.07510469830547,68002
"('VT22', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",69.08885777332539,68653
"('VT22', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",69.12749855228566,68805
"('VT27', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",69.13845863744596,68540
"('VT22', '20180222-57WIooVH-VT__R6F14_RN1RP1')",69.14347511241162,68283
"('VT23', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",69.1577202097048,68286
"('VT26', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",69.29648329447622,67177
"('VT22', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",69.29825937925291,69470
"('VT20', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",69.32775583589434,69746
"('VT26', '20180222-57WIooVH-VT__R6F16_RN1RP3')",69.35579379138578,66624
"('VT25', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",69.41736661231536,68468
"('VT25', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",69.4622150281936,68542
"('VT25', '20180222-57WIooVH-VT__R6F14_RN1RP1')",69.5022290391009,67983
"('VT19', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",69.51265328522447,68611
"('VT22', '20180222-57NYooVH-VT__R6F20_RN1RP1')",69.52910639728583,68483
"('VT22', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",69.56452576688821,69000
"('VT26', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",69.58328647986687,68061
"('VT26', '20180222-57WIsaVL-VT__R6F4_RN1RP1')",69.68203903735171,67696
"('VT27', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",69.7038405620971,68430
"('VT25', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",69.77066847642946,69077
"('VT23', '20180222-57WIooVH-VT__R6F15_RN1RP2')",69.795795688518,66795
"('VT22', '20180222-57NYooVH-VT__R7F2_RN1RP3')",69.7990993211012,69092
"('VT23', '20180222-57WIooVL-VT__R6F17_RN1RP1')",69.8054998165778,66581
"('VT24', '20180222-57WIooVH-VT__R6F15_RN1RP2')",69.82214792580525,66865
"('VT22', '20180222-57WIooVH-VT__R6F16_RN1RP3')",69.82733040880093,68133
"('VT27', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",69.84150402127524,68530
"('VT24', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",69.93051907577134,67839
"('VT25', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",69.96238681880692,68260
"('VT20', '20180222-57NYooVH-VT__R7F1_RN1RP2')",69.99063466046343,69993
"('VT24', '20180222-57WIooVL-VT__R6F17_RN1RP1')",69.99395028074424,66718
"('VT27', '20180222-57WIsaVH-VT__R6F1_RN1RP1')",70.02234418632058,68422
"('VT24', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",70.03471575220517,67990
"('VT26', '20180222-57NYsaVH-VT__R6F10_RN1RP3')",70.06115908879866,67591
"('VT27', '20180222-57WIsaVH-VT__R6F2_RN1RP2')",70.06182862873737,68250
"('VT25', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",70.06372858243559,68949
"('VT26', '20180222-57WIooVH-VT__R6F15_RN1RP2')",70.06478445080776,66434
"('VT19', '20180222-57NYooVH-VT__R6F20_RN1RP1')",70.07201100778776,68501
