,Positive,Negative,Proportion
"('VT3', '20180222-71NYsaSL-VV__R2F9_RN2RP2')",291559,2,0.9999931403719976
"('VT6', '20180222-57WIooVB-VT__R4F4_RN1RP1')",291559,2,0.9999931403719976
"('VT6', '20180222-57WIooVB-VT__R4F5_RN1RP2')",291559,2,0.9999931403719976
"('VT6', '20180222-57WIsaVB-VT__R4F1_RN1RP1')",291559,2,0.9999931403719976
"('VT6', '20180222-57WIsaVB-VT__R4F2_RN1RP2')",291559,2,0.9999931403719976
"('VT6', '20180222-57WIsaVB-VT__R4F3_RN1RP3')",291559,2,0.9999931403719976
"('VT6', '20180222-71WIsaSV-VV__R2F5_RN2RP2')",291559,2,0.9999931403719976
"('VT6', '20180222-71NYsaSL-VV__R2F9_RN2RP2')",291559,2,0.9999931403719976
"('VT6', '20180222-71NYsaSL-VV__R2F10_RN2RP3')",291559,2,0.9999931403719976
"('VT6', '20180222-71OOooPA-VV__R5F1_RN1RP1')",291559,2,0.9999931403719976
"('VT6', '20180222-71OOooPA-VV__R5F2_RN1RP2')",291559,2,0.9999931403719976
"('VT6', '20180222-71OOooPA-VV__R5F3_RN1RP3')",291559,2,0.9999931403719976
"('VT3', '20180222-71WIsaSV-VV__R2F6_RN2RP3')",291559,2,0.9999931403719976
"('VT6', '20180222-71OOsaSL-VV__R2F11_RN2RP1')",291559,2,0.9999931403719976
"('VT6', '20180222-71OOsaSL-VV__R2F12_RN2RP2')",291559,2,0.9999931403719976
"('VT6', '20180222-71OOsaSL-VV__R2F13_RN2RP3')",291559,2,0.9999931403719976
"('VT6', '20180222-71WIooPA-VV__R2F18_RN2RP1')",291559,2,0.9999931403719976
"('VT6', '20180222-71WIooPA-VV__R2F20_RN2RP3')",291559,2,0.9999931403719976
"('VT6', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",291559,2,0.9999931403719976
"('VT6', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",291559,2,0.9999931403719976
"('VT6', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",291559,2,0.9999931403719976
"('VT6', '20180222-71WIsaSV-VV__R2F4_RN2RP1')",291559,2,0.9999931403719976
"('VT6', '20180222-57WIooVB-VT__R4F6_RN1RP3')",291559,2,0.9999931403719976
"('VT6', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",291559,2,0.9999931403719976
"('VT3', '20180222-71WIsaSV-VV__R2F5_RN2RP2')",291559,2,0.9999931403719976
"('VT3', '20180222-71WIooPA-VV__R2F18_RN2RP1')",291559,2,0.9999931403719976
"('VT3', '20180222-71NYsaSL-VV__R2F10_RN2RP3')",291559,2,0.9999931403719976
"('VT3', '20180222-71OOooPA-VV__R5F1_RN1RP1')",291559,2,0.9999931403719976
"('VT3', '20180222-71OOooPA-VV__R5F2_RN1RP2')",291559,2,0.9999931403719976
"('VT3', '20180222-71OOooPA-VV__R5F3_RN1RP3')",291559,2,0.9999931403719976
"('VT3', '20180222-71WIsaSV-VV__R2F4_RN2RP1')",291559,2,0.9999931403719976
"('VT3', '20180222-57WIsaVB-VT__R4F3_RN1RP3')",291559,2,0.9999931403719976
"('VT3', '20180222-57WIsaVB-VT__R4F2_RN1RP2')",291559,2,0.9999931403719976
"('VT3', '20180222-57WIsaVB-VT__R4F1_RN1RP1')",291559,2,0.9999931403719976
"('VT3', '20180222-71OOsaSL-VV__R2F12_RN2RP2')",291559,2,0.9999931403719976
"('VT3', '20180222-71OOsaSL-VV__R2F13_RN2RP3')",291559,2,0.9999931403719976
"('VT3', '20180222-71OOsaSL-VV__R2F11_RN2RP1')",291559,2,0.9999931403719976
"('VT3', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",291559,2,0.9999931403719976
"('VT3', '20180222-57WIooVB-VT__R4F4_RN1RP1')",291559,2,0.9999931403719976
"('VT3', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",291559,2,0.9999931403719976
"('VT3', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",291559,2,0.9999931403719976
"('VT3', '20180222-71WIooPA-VV__R2F20_RN2RP3')",291559,2,0.9999931403719976
"('VT6', '20180222-71WIsaSV-VV__R2F6_RN2RP3')",291559,2,0.9999931403719976
"('VT3', '20180222-57WIooVB-VT__R4F5_RN1RP2')",291559,2,0.9999931403719976
"('VT3', '20180222-57WIooVB-VT__R4F6_RN1RP3')",291559,2,0.9999931403719976
"('VT3', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",291559,2,0.9999931403719976
"('VT16', '20180222-57WIooVB-VT__R4F6_RN1RP3')",291558,3,0.9999897105579965
"('VT16', '20180222-57WIooVB-VT__R4F5_RN1RP2')",291558,3,0.9999897105579965
"('VT16', '20180222-57WIooVB-VT__R4F4_RN1RP1')",291558,3,0.9999897105579965
"('VT16', '20180222-57WIsaVB-VT__R4F1_RN1RP1')",291558,3,0.9999897105579965
"('VT12', '20180222-57WIooVB-VT__R4F4_RN1RP1')",291558,3,0.9999897105579965
"('VT16', '20180222-57WIsaVB-VT__R4F3_RN1RP3')",291558,3,0.9999897105579965
"('VT16', '20180222-57WIsaVB-VT__R4F2_RN1RP2')",291558,3,0.9999897105579965
"('VT17', '20180222-71WIsaSV-VV__R2F5_RN2RP2')",291558,3,0.9999897105579965
"('VT12', '20180222-57WIooVB-VT__R4F5_RN1RP2')",291558,3,0.9999897105579965
"('VT12', '20180222-57WIooVB-VT__R4F6_RN1RP3')",291558,3,0.9999897105579965
"('VT15', '20180222-71WIsaSV-VV__R2F5_RN2RP2')",291558,3,0.9999897105579965
"('VT15', '20180222-71WIsaSV-VV__R2F4_RN2RP1')",291558,3,0.9999897105579965
"('VT15', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",291558,3,0.9999897105579965
"('VT15', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",291558,3,0.9999897105579965
"('VT15', '20180222-71WIsaSV-VV__R2F6_RN2RP3')",291558,3,0.9999897105579965
"('VT15', '20180222-71OOsaSL-VV__R2F12_RN2RP2')",291558,3,0.9999897105579965
"('VT17', '20180222-71WIsaSV-VV__R2F6_RN2RP3')",291558,3,0.9999897105579965
"('VT12', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",291558,3,0.9999897105579965
"('VT12', '20180222-71OOsaSL-VV__R2F13_RN2RP3')",291558,3,0.9999897105579965
"('VT12', '20180222-71WIooPA-VV__R2F18_RN2RP1')",291558,3,0.9999897105579965
"('VT10', '20180222-57WIsaVB-VT__R4F2_RN1RP2')",291558,3,0.9999897105579965
"('VT10', '20180222-57WIsaVB-VT__R4F1_RN1RP1')",291558,3,0.9999897105579965
"('VT10', '20180222-57WIooVB-VT__R4F6_RN1RP3')",291558,3,0.9999897105579965
"('VT10', '20180222-57WIooVB-VT__R4F5_RN1RP2')",291558,3,0.9999897105579965
"('VT12', '20180222-71WIooPA-VV__R2F20_RN2RP3')",291558,3,0.9999897105579965
"('VT12', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",291558,3,0.9999897105579965
"('VT15', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",291558,3,0.9999897105579965
"('VT10', '20180222-57WIooVB-VT__R4F4_RN1RP1')",291558,3,0.9999897105579965
"('VT37', '20180222-57WIooVB-VT__R4F4_RN1RP1')",291558,3,0.9999897105579965
"('VT37', '20180222-57WIooVB-VT__R4F5_RN1RP2')",291558,3,0.9999897105579965
"('VT12', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",291558,3,0.9999897105579965
"('VT12', '20180222-71WIsaSV-VV__R2F4_RN2RP1')",291558,3,0.9999897105579965
"('VT37', '20180222-57WIooVB-VT__R4F6_RN1RP3')",291558,3,0.9999897105579965
"('VT37', '20180222-57WIsaVB-VT__R4F1_RN1RP1')",291558,3,0.9999897105579965
"('VT12', '20180222-71OOsaSL-VV__R2F12_RN2RP2')",291558,3,0.9999897105579965
"('VT12', '20180222-71OOsaSL-VV__R2F11_RN2RP1')",291558,3,0.9999897105579965
"('VT12', '20180222-71OOooPA-VV__R5F3_RN1RP3')",291558,3,0.9999897105579965
"('VT12', '20180222-71OOooPA-VV__R5F2_RN1RP2')",291558,3,0.9999897105579965
"('VT15', '20180222-71WIooPA-VV__R2F20_RN2RP3')",291558,3,0.9999897105579965
"('VT12', '20180222-57WIsaVB-VT__R4F1_RN1RP1')",291558,3,0.9999897105579965
"('VT12', '20180222-57WIsaVB-VT__R4F2_RN1RP2')",291558,3,0.9999897105579965
"('VT12', '20180222-57WIsaVB-VT__R4F3_RN1RP3')",291558,3,0.9999897105579965
"('VT10', '20180222-57WIsaVB-VT__R4F3_RN1RP3')",291558,3,0.9999897105579965
"('VT15', '20180222-71WIooPA-VV__R2F18_RN2RP1')",291558,3,0.9999897105579965
"('VT15', '20180222-71OOsaSL-VV__R2F13_RN2RP3')",291558,3,0.9999897105579965
"('VT16', '20180222-71NYsaSL-VV__R2F9_RN2RP2')",291558,3,0.9999897105579965
"('VT15', '20180222-71OOsaSL-VV__R2F11_RN2RP1')",291558,3,0.9999897105579965
"('VT15', '20180222-71OOooPA-VV__R5F3_RN1RP3')",291558,3,0.9999897105579965
"('VT15', '20180222-71OOooPA-VV__R5F2_RN1RP2')",291558,3,0.9999897105579965
"('VT12', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",291558,3,0.9999897105579965
"('VT12', '20180222-71NYsaSL-VV__R2F9_RN2RP2')",291558,3,0.9999897105579965
"('VT12', '20180222-71NYsaSL-VV__R2F10_RN2RP3')",291558,3,0.9999897105579965
"('VT12', '20180222-71OOooPA-VV__R5F1_RN1RP1')",291558,3,0.9999897105579965
"('VT16', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",291558,3,0.9999897105579965
"('VT16', '20180222-71OOooPA-VV__R5F3_RN1RP3')",291558,3,0.9999897105579965
"('VT16', '20180222-71NYsaSL-VV__R2F10_RN2RP3')",291558,3,0.9999897105579965
"('VT16', '20180222-71OOooPA-VV__R5F2_RN1RP2')",291558,3,0.9999897105579965
"('VT17', '20180222-71OOooPA-VV__R5F2_RN1RP2')",291558,3,0.9999897105579965
