,Positive,Negative,Proportion
"('VT3', '20180222-71WIooPA-VV__R2F19_RN2RP2')",76969,1743,0.9778559812989125
"('VT3', '20180222-71WIooPA-VV__R2F20_RN2RP3')",76963,1749,0.9777797540400447
"('VT3', '20180222-71WIooPA-VV__R2F18_RN2RP1')",76963,1749,0.9777797540400447
"('VT5', '20180222-71WIooPA-VV__R2F19_RN2RP2')",76939,1773,0.9774748450045736
"('VT5', '20180222-71WIooPA-VV__R2F18_RN2RP1')",76932,1780,0.9773859132025612
"('VT5', '20180222-71WIooPA-VV__R2F20_RN2RP3')",76932,1780,0.9773859132025612
"('VT3', '20180222-71OOooPA-VV__R5F1_RN1RP1')",76918,1794,0.9772080495985365
"('VT3', '20180222-71OOooPA-VV__R5F2_RN1RP2')",76912,1800,0.9771318223396687
"('VT3', '20180222-71OOooPA-VV__R5F3_RN1RP3')",76908,1804,0.9770810041670902
"('VT12', '20180222-71WIooPA-VV__R2F19_RN2RP2')",76905,1807,0.9770428905376563
"('VT12', '20180222-71WIooPA-VV__R2F18_RN2RP1')",76899,1813,0.9769666632787884
"('VT12', '20180222-71WIooPA-VV__R2F20_RN2RP3')",76899,1813,0.9769666632787884
"('VT14', '20180222-71WIooPA-VV__R2F19_RN2RP2')",76894,1818,0.9769031405630654
"('VT14', '20180222-71WIooPA-VV__R2F20_RN2RP3')",76888,1824,0.9768269133041976
"('VT14', '20180222-71WIooPA-VV__R2F18_RN2RP1')",76888,1824,0.9768269133041976
"('VT5', '20180222-71OOooPA-VV__R5F1_RN1RP1')",76887,1825,0.976814208761053
"('VT5', '20180222-71OOooPA-VV__R5F2_RN1RP2')",76881,1831,0.9767379815021852
"('VT5', '20180222-71OOooPA-VV__R5F3_RN1RP3')",76877,1835,0.9766871633296067
"('VT15', '20180222-71WIooPA-VV__R2F19_RN2RP2')",76865,1847,0.9765347088118711
"('VT10', '20180222-71WIooPA-VV__R2F19_RN2RP2')",76859,1853,0.9764584815530033
"('VT15', '20180222-71WIooPA-VV__R2F18_RN2RP1')",76859,1853,0.9764584815530033
"('VT15', '20180222-71WIooPA-VV__R2F20_RN2RP3')",76859,1853,0.9764584815530033
"('VT12', '20180222-71OOooPA-VV__R5F1_RN1RP1')",76854,1858,0.9763949588372802
"('VT10', '20180222-71WIooPA-VV__R2F20_RN2RP3')",76853,1859,0.9763822542941356
"('VT10', '20180222-71WIooPA-VV__R2F18_RN2RP1')",76853,1859,0.9763822542941356
"('VT11', '20180222-71WIooPA-VV__R2F19_RN2RP2')",76849,1863,0.976331436121557
"('VT12', '20180222-71OOooPA-VV__R5F2_RN1RP2')",76848,1864,0.9763187315784124
"('VT12', '20180222-71OOooPA-VV__R5F3_RN1RP3')",76844,1868,0.976267913405834
"('VT14', '20180222-71OOooPA-VV__R5F1_RN1RP1')",76844,1868,0.976267913405834
"('VT11', '20180222-71WIooPA-VV__R2F18_RN2RP1')",76843,1869,0.9762552088626893
"('VT11', '20180222-71WIooPA-VV__R2F20_RN2RP3')",76843,1869,0.9762552088626893
"('VT14', '20180222-71OOooPA-VV__R5F2_RN1RP2')",76839,1873,0.9762043906901108
"('VT14', '20180222-71OOooPA-VV__R5F3_RN1RP3')",76834,1878,0.9761408679743876
"('VT15', '20180222-71OOooPA-VV__R5F1_RN1RP1')",76816,1896,0.9759121861977843
"('VT17', '20180222-71WIooPA-VV__R2F19_RN2RP2')",76816,1896,0.9759121861977843
"('VT17', '20180222-71WIooPA-VV__R2F18_RN2RP1')",76810,1902,0.9758359589389165
"('VT17', '20180222-71WIooPA-VV__R2F20_RN2RP3')",76810,1902,0.9758359589389165
"('VT15', '20180222-71OOooPA-VV__R5F2_RN1RP2')",76809,1903,0.9758232543957719
"('VT10', '20180222-71OOooPA-VV__R5F1_RN1RP1')",76808,1904,0.9758105498526273
"('VT15', '20180222-71OOooPA-VV__R5F3_RN1RP3')",76805,1907,0.9757724362231934
"('VT10', '20180222-71OOooPA-VV__R5F2_RN1RP2')",76802,1910,0.9757343225937595
"('VT11', '20180222-71OOooPA-VV__R5F1_RN1RP1')",76802,1910,0.9757343225937595
"('VT10', '20180222-71OOooPA-VV__R5F3_RN1RP3')",76798,1914,0.975683504421181
"('VT11', '20180222-71OOooPA-VV__R5F2_RN1RP2')",76793,1919,0.9756199817054578
"('VT11', '20180222-71OOooPA-VV__R5F3_RN1RP3')",76790,1922,0.975581868076024
"('VT17', '20180222-71OOooPA-VV__R5F1_RN1RP1')",76765,1947,0.9752642544974083
"('VT13', '20180222-71WIooPA-VV__R2F19_RN2RP2')",76765,1947,0.9752642544974083
"('VT17', '20180222-71OOooPA-VV__R5F2_RN1RP2')",76759,1953,0.9751880272385405
"('VT13', '20180222-71WIooPA-VV__R2F20_RN2RP3')",76759,1953,0.9751880272385405
"('VT13', '20180222-71WIooPA-VV__R2F18_RN2RP1')",76759,1953,0.9751880272385405
"('VT9', '20180222-71WIooPA-VV__R2F19_RN2RP2')",76758,1954,0.9751753226953959
"('VT8', '20180222-71WIooPA-VV__R2F19_RN2RP2')",76756,1956,0.9751499136091066
"('VT17', '20180222-71OOooPA-VV__R5F3_RN1RP3')",76755,1957,0.975137209065962
"('VT9', '20180222-71WIooPA-VV__R2F18_RN2RP1')",76752,1960,0.9750990954365281
"('VT9', '20180222-71WIooPA-VV__R2F20_RN2RP3')",76752,1960,0.9750990954365281
"('VT8', '20180222-71WIooPA-VV__R2F20_RN2RP3')",76750,1962,0.9750736863502388
"('VT8', '20180222-71WIooPA-VV__R2F18_RN2RP1')",76749,1963,0.9750609818070942
"('VT2', '20180222-71WIooPA-VV__R2F19_RN2RP2')",76746,1966,0.9750228681776604
"('VT2', '20180222-71WIooPA-VV__R2F18_RN2RP1')",76740,1972,0.9749466409187926
"('VT2', '20180222-71WIooPA-VV__R2F20_RN2RP3')",76740,1972,0.9749466409187926
"('VT3', '20180222-24WIooVL-VG__R9F3_RN1RP2')",76727,1985,0.9747814818579124
"('VT3', '20180222-24NYooVH-VG__R9F5_RN1RP1')",76724,1988,0.9747433682284785
"('VT3', '20180222-24NYooVH-VG__R9F6_RN1RP2')",76724,1988,0.9747433682284785
"('VT3', '20180222-24OOooVH-VG__R9F11_RN1RP3')",76721,1991,0.9747052545990447
"('VT13', '20180222-71OOooPA-VV__R5F1_RN1RP1')",76719,1993,0.9746798455127553
"('VT3', '20180222-24NYooVH-VG__R9F8_RN1RP3')",76719,1993,0.9746798455127553
"('VT3', '20180222-24OOooVH-VG__R9F10_RN1RP2')",76716,1996,0.9746417318833215
"('VT3', '20180222-24OOooVH-VG__R9F9_RN1RP1')",76714,1998,0.9746163227970323
"('VT13', '20180222-71OOooPA-VV__R5F2_RN1RP2')",76713,1999,0.9746036182538876
"('VT3', '20180222-24WIooVL-VG__R9F2_RN1RP1')",76713,1999,0.9746036182538876
"('VT13', '20180222-71OOooPA-VV__R5F3_RN1RP3')",76709,2003,0.9745528000813091
"('VT9', '20180222-71OOooPA-VV__R5F1_RN1RP1')",76709,2003,0.9745528000813091
"('VT3', '20180222-24WIooVL-VG__R9F4_RN1RP3')",76705,2007,0.9745019819087306
"('VT9', '20180222-71OOooPA-VV__R5F2_RN1RP2')",76703,2009,0.9744765728224413
"('VT8', '20180222-71OOooPA-VV__R5F1_RN1RP1')",76703,2009,0.9744765728224413
"('VT9', '20180222-71OOooPA-VV__R5F3_RN1RP3')",76698,2014,0.9744130501067182
"('VT8', '20180222-71OOooPA-VV__R5F2_RN1RP2')",76697,2015,0.9744003455635736
"('VT2', '20180222-71OOooPA-VV__R5F1_RN1RP1')",76695,2017,0.9743749364772842
"('VT8', '20180222-71OOooPA-VV__R5F3_RN1RP3')",76693,2019,0.974349527390995
"('VT5', '20180222-24WIooVL-VG__R9F3_RN1RP2')",76691,2021,0.9743241183047058
"('VT5', '20180222-24NYooVH-VG__R9F5_RN1RP1')",76690,2022,0.9743114137615612
"('VT2', '20180222-71OOooPA-VV__R5F2_RN1RP2')",76689,2023,0.9742987092184165
"('VT5', '20180222-24NYooVH-VG__R9F6_RN1RP2')",76688,2024,0.9742860046752718
"('VT5', '20180222-24OOooVH-VG__R9F11_RN1RP3')",76687,2025,0.9742733001321272
