,Positive,Negative,Proportion
"('VT50', '20180222-71WIsaSV-VV__R2F6_RN2RP3')",5,0,1.0
"('VT39', '20180222-71OOooPA-VV__R5F3_RN1RP3')",10,0,1.0
"('VT39', '20180222-71WIsaSV-VV__R2F4_RN2RP1')",10,0,1.0
"('VT39', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",10,0,1.0
"('VT39', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",10,0,1.0
"('VT39', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",10,0,1.0
"('VT39', '20180222-71WIooPA-VV__R2F20_RN2RP3')",10,0,1.0
"('VT39', '20180222-71WIooPA-VV__R2F18_RN2RP1')",10,0,1.0
"('VT39', '20180222-71OOsaSL-VV__R2F13_RN2RP3')",10,0,1.0
"('VT39', '20180222-71OOsaSL-VV__R2F12_RN2RP2')",10,0,1.0
"('VT39', '20180222-71OOsaSL-VV__R2F11_RN2RP1')",10,0,1.0
"('VT39', '20180222-71OOooPA-VV__R5F2_RN1RP2')",10,0,1.0
"('VT42', '20180222-71WIsaSV-VV__R2F6_RN2RP3')",63,0,1.0
"('VT39', '20180222-71OOooPA-VV__R5F1_RN1RP1')",10,0,1.0
"('VT39', '20180222-71NYsaSL-VV__R2F10_RN2RP3')",10,0,1.0
"('VT39', '20180222-71NYsaSL-VV__R2F9_RN2RP2')",10,0,1.0
"('VT39', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",10,0,1.0
"('VT39', '20180222-57WIsaVB-VT__R4F3_RN1RP3')",10,0,1.0
"('VT39', '20180222-57WIsaVB-VT__R4F2_RN1RP2')",10,0,1.0
"('VT39', '20180222-57WIsaVB-VT__R4F1_RN1RP1')",10,0,1.0
"('VT39', '20180222-57WIooVB-VT__R4F6_RN1RP3')",10,0,1.0
"('VT39', '20180222-57WIooVB-VT__R4F5_RN1RP2')",10,0,1.0
"('VT39', '20180222-71WIsaSV-VV__R2F5_RN2RP2')",10,0,1.0
"('VT39', '20180222-71WIsaSV-VV__R2F6_RN2RP3')",10,0,1.0
"('VT42', '20180222-57WIooVB-VT__R4F4_RN1RP1')",63,0,1.0
"('VT42', '20180222-57WIooVB-VT__R4F5_RN1RP2')",63,0,1.0
"('VT42', '20180222-71WIsaSV-VV__R2F4_RN2RP1')",63,0,1.0
"('VT42', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",63,0,1.0
"('VT42', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",63,0,1.0
"('VT42', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",63,0,1.0
"('VT42', '20180222-71WIooPA-VV__R2F20_RN2RP3')",63,0,1.0
"('VT42', '20180222-71WIooPA-VV__R2F18_RN2RP1')",63,0,1.0
"('VT42', '20180222-71OOsaSL-VV__R2F13_RN2RP3')",63,0,1.0
"('VT42', '20180222-71OOsaSL-VV__R2F12_RN2RP2')",63,0,1.0
"('VT42', '20180222-71OOsaSL-VV__R2F11_RN2RP1')",63,0,1.0
"('VT42', '20180222-71OOooPA-VV__R5F3_RN1RP3')",63,0,1.0
"('VT42', '20180222-71OOooPA-VV__R5F2_RN1RP2')",63,0,1.0
"('VT42', '20180222-71OOooPA-VV__R5F1_RN1RP1')",63,0,1.0
"('VT42', '20180222-71NYsaSL-VV__R2F10_RN2RP3')",63,0,1.0
"('VT42', '20180222-71NYsaSL-VV__R2F9_RN2RP2')",63,0,1.0
"('VT42', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",63,0,1.0
"('VT42', '20180222-57WIsaVB-VT__R4F3_RN1RP3')",63,0,1.0
"('VT42', '20180222-57WIsaVB-VT__R4F2_RN1RP2')",63,0,1.0
"('VT42', '20180222-57WIsaVB-VT__R4F1_RN1RP1')",63,0,1.0
"('VT42', '20180222-57WIooVB-VT__R4F6_RN1RP3')",63,0,1.0
"('VT39', '20180222-57WIooVB-VT__R4F4_RN1RP1')",10,0,1.0
"('VT38', '20180222-71WIsaSV-VV__R2F6_RN2RP3')",4,0,1.0
"('VT38', '20180222-71WIsaSV-VV__R2F5_RN2RP2')",4,0,1.0
"('VT37', '20180222-71WIsaSV-VV__R2F5_RN2RP2')",3,0,1.0
"('VT37', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",3,0,1.0
"('VT37', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",3,0,1.0
"('VT37', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",3,0,1.0
"('VT37', '20180222-71WIooPA-VV__R2F20_RN2RP3')",3,0,1.0
"('VT37', '20180222-71WIooPA-VV__R2F18_RN2RP1')",3,0,1.0
"('VT37', '20180222-71OOsaSL-VV__R2F13_RN2RP3')",3,0,1.0
"('VT37', '20180222-71OOsaSL-VV__R2F12_RN2RP2')",3,0,1.0
"('VT37', '20180222-71OOsaSL-VV__R2F11_RN2RP1')",3,0,1.0
"('VT37', '20180222-71OOooPA-VV__R5F3_RN1RP3')",3,0,1.0
"('VT37', '20180222-71OOooPA-VV__R5F2_RN1RP2')",3,0,1.0
"('VT37', '20180222-71OOooPA-VV__R5F1_RN1RP1')",3,0,1.0
"('VT37', '20180222-71NYsaSL-VV__R2F10_RN2RP3')",3,0,1.0
"('VT37', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",3,0,1.0
"('VT37', '20180222-57WIsaVB-VT__R4F3_RN1RP3')",3,0,1.0
"('VT37', '20180222-57WIsaVB-VT__R4F2_RN1RP2')",3,0,1.0
"('VT37', '20180222-57WIsaVB-VT__R4F1_RN1RP1')",3,0,1.0
"('VT37', '20180222-57WIooVB-VT__R4F6_RN1RP3')",3,0,1.0
"('VT37', '20180222-57WIooVB-VT__R4F5_RN1RP2')",3,0,1.0
"('VT37', '20180222-57WIooVB-VT__R4F4_RN1RP1')",3,0,1.0
"('VT37', '20180222-71WIsaSV-VV__R2F4_RN2RP1')",3,0,1.0
"('VT37', '20180222-71WIsaSV-VV__R2F6_RN2RP3')",3,0,1.0
"('VT38', '20180222-71WIsaSV-VV__R2F4_RN2RP1')",4,0,1.0
"('VT38', '20180222-57WIooVB-VT__R4F4_RN1RP1')",4,0,1.0
"('VT38', '20180222-71WIsaSL-VV__R2F3_RN2RP3')",4,0,1.0
"('VT38', '20180222-71WIsaSL-VV__R2F2_RN2RP2')",4,0,1.0
"('VT38', '20180222-71WIsaSL-VV__R2F1_RN2RP1')",4,0,1.0
"('VT38', '20180222-71WIooPA-VV__R2F20_RN2RP3')",4,0,1.0
"('VT38', '20180222-71WIooPA-VV__R2F18_RN2RP1')",4,0,1.0
"('VT38', '20180222-71OOsaSL-VV__R2F13_RN2RP3')",4,0,1.0
"('VT38', '20180222-71OOsaSL-VV__R2F12_RN2RP2')",4,0,1.0
"('VT38', '20180222-71OOsaSL-VV__R2F11_RN2RP1')",4,0,1.0
"('VT38', '20180222-71OOooPA-VV__R5F3_RN1RP3')",4,0,1.0
"('VT38', '20180222-71OOooPA-VV__R5F2_RN1RP2')",4,0,1.0
"('VT38', '20180222-71OOooPA-VV__R5F1_RN1RP1')",4,0,1.0
"('VT38', '20180222-71NYsaSL-VV__R2F10_RN2RP3')",4,0,1.0
"('VT38', '20180222-71NYsaSL-VV__R2F9_RN2RP2')",4,0,1.0
"('VT38', '20180222-71NYsaSL-VV__R2F8_RN2RP1')",4,0,1.0
"('VT38', '20180222-57WIsaVB-VT__R4F3_RN1RP3')",4,0,1.0
"('VT38', '20180222-57WIsaVB-VT__R4F2_RN1RP2')",4,0,1.0
"('VT38', '20180222-57WIsaVB-VT__R4F1_RN1RP1')",4,0,1.0
"('VT38', '20180222-57WIooVB-VT__R4F6_RN1RP3')",4,0,1.0
"('VT38', '20180222-57WIooVB-VT__R4F5_RN1RP2')",4,0,1.0
"('VT42', '20180222-71WIsaSV-VV__R2F5_RN2RP2')",63,0,1.0
"('VT37', '20180222-71NYsaSL-VV__R2F9_RN2RP2')",3,0,1.0
"('VT50', '20180222-71NYsaSL-VV__R2F10_RN2RP3')",5,0,1.0
"('VT50', '20180222-71OOooPA-VV__R5F3_RN1RP3')",5,0,1.0
"('VT50', '20180222-71WIsaSV-VV__R2F5_RN2RP2')",5,0,1.0
