,Positive,Negative,Proportion
"('VT23', '20180222-57NYooVH-VT__R7F2_RN1RP3')",13815,54209,0.2030900858520522
"('VT24', '20180222-57NYooVH-VT__R7F2_RN1RP3')",13786,54415,0.20213779856600342
"('VT24', '20180222-57OOsaVH-VT__R6F11_RN1RP1')",13727,55179,0.19921342118248048
"('VT23', '20180222-57OOsaVH-VT__R6F11_RN1RP1')",13566,55359,0.196822633297062
"('VT26', '20180222-57NYooVH-VT__R7F2_RN1RP3')",13556,54203,0.20006198438583805
"('VT22', '20180222-57NYooVH-VT__R7F2_RN1RP3')",13181,55911,0.19077461934811554
"('VT26', '20180222-57OOsaVH-VT__R6F11_RN1RP1')",13115,55633,0.190769186012684
"('VT22', '20180222-57OOsaVH-VT__R6F11_RN1RP1')",12975,56880,0.18574189392312648
"('VT24', '20180222-57NYsaVH-VT__R6F8_RN1RP1')",12780,55634,0.18680387055281084
"('VT23', '20180222-57NYsaVH-VT__R6F8_RN1RP1')",12760,55512,0.18689946097961097
"('VT35', '20180222-57NYooVH-VT__R6F20_RN1RP1')",12710,51378,0.1983210585445013
"('VT35', '20180222-57NYsaVH-VT__R6F9_RN1RP2')",12686,52120,0.19575347961608494
"('VT35', '20180222-57NYooVH-VT__R7F1_RN1RP2')",12612,52070,0.19498469435082402
"('VT35', '20180222-57OOsaVH-VT__R6F12_RN1RP2')",12578,52833,0.1922918163611625
"('VT29', '20180222-57NYooVH-VT__R6F20_RN1RP1')",12397,51019,0.19548694335814307
"('VT26', '20180222-57NYsaVH-VT__R6F8_RN1RP1')",12354,55710,0.18150564174894218
"('VT24', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",12292,55547,0.1811937086336768
"('VT35', '20180222-57WIooVH-VT__R6F16_RN1RP3')",12286,51331,0.19312447930584592
"('VT35', '20180222-57OOsaVH-VT__R6F13_RN1RP3')",12242,53385,0.18653907690432292
"('VT23', '20180222-57WIsaVH-VT__R6F3_RN1RP3')",12202,55489,0.1802603004830775
"('VT27', '20180222-57NYooVH-VT__R7F2_RN1RP3')",12194,56548,0.17738791423001948
"('VT19', '20180222-57OOsaVH-VT__R6F11_RN1RP1')",12125,57753,0.17351670053521853
"('VT23', '20180222-57WIsaVL-VT__R6F5_RN1RP2')",12109,56146,0.17740824847996484
"('VT21', '20180222-57NYooVH-VT__R7F2_RN1RP3')",12082,57003,0.17488600998769632
"('VT24', '20180222-57WIsaVL-VT__R6F5_RN1RP2')",12079,56325,0.1765832407461552
"('VT23', '20180222-57NYooVH-VT__R7F1_RN1RP2')",12078,55688,0.17823097128353452
"('VT19', '20180222-57NYooVH-VT__R7F2_RN1RP3')",12073,56998,0.17479115692548247
