,0
20180222-24NYooVH-VG__R9F5_RN1RP1,227087.0
20180222-24NYooVH-VG__R9F6_RN1RP2,251175.0
20180222-24NYooVH-VG__R9F8_RN1RP3,265794.0
20180222-24NYsaVH-VG__R3F15_RN1RP1,368927.0
20180222-24NYsaVH-VG__R3F16_RN1RP2,521644.0
20180222-24NYsaVH-VG__R3F17_RN1RP3,488226.0
20180222-24OOooVH-VG__R9F9_RN1RP1,252610.0
20180222-24OOooVH-VG__R9F10_RN1RP2,265188.0
20180222-24OOooVH-VG__R9F11_RN1RP3,267561.0
20180222-24OOsaVH-VG__R3F18_RN1RP1,627736.0
20180222-24OOsaVH-VG__R3F19_RN1RP2,568445.0
20180222-24OOsaVH-VG__R3F20_RN1RP3,464055.0
20180222-24WIooVH-VG__R9F1_RN1RP3,408494.0
20180222-24WIooVH-VG__R5F10_RN1RP1,483295.0
20180222-24WIooVH-VG__R5F11_RN1RP2,444285.0
20180222-24WIooVL-VG__R9F2_RN1RP1,265818.0
20180222-24WIooVL-VG__R9F3_RN1RP2,234393.0
20180222-24WIooVL-VG__R9F4_RN1RP3,375523.0
20180222-24WIsaVH-VG__R3F9_RN1RP1,329250.0
20180222-24WIsaVH-VG__R3F10_RN1RP2,300305.0
20180222-24WIsaVH-VG__R3F11_RN1RP3,256037.0
20180222-24WIsaVL-VG__R3F12_RN1RP1,271451.0
20180222-24WIsaVL-VG__R3F13_RN1RP2,256147.0
20180222-24WIsaVL-VG__R3F14_RN1RP3,421407.0
20180222-57NYooVH-VT__R7F1_RN1RP2,334323.0
20180222-57NYooVH-VT__R7F2_RN1RP3,444975.0
20180222-57NYooVH-VT__R6F20_RN1RP1,265952.0
20180222-57NYsaVH-VT__R6F8_RN1RP1,427988.0
20180222-57NYsaVH-VT__R6F9_RN1RP2,320660.0
20180222-57NYsaVH-VT__R6F10_RN1RP3,329398.0
20180222-57OOooVH-VT__R7F3_RN1RP1,370616.0
20180222-57OOooVH-VT__R8F11_RN1RP3,303887.0
20180222-57OOsaVH-VT__R6F11_RN1RP1,469540.0
20180222-57OOsaVH-VT__R6F12_RN1RP2,322889.0
20180222-57OOsaVH-VT__R6F13_RN1RP3,348163.0
20180222-57WIooVB-VT__R4F4_RN1RP1,471101.0
20180222-57WIooVB-VT__R4F5_RN1RP2,407599.0
20180222-57WIooVB-VT__R4F6_RN1RP3,424432.0
20180222-57WIooVH-VT__R6F14_RN1RP1,360011.0
20180222-57WIooVH-VT__R6F15_RN1RP2,251880.0
20180222-57WIooVH-VT__R6F16_RN1RP3,301228.0
20180222-57WIooVL-VT__R6F17_RN1RP1,291279.0
20180222-57WIooVL-VT__R6F18_RN1RP2,326176.0
20180222-57WIooVL-VT__R6F19_RN1RP3,210533.0
20180222-57WIsaVB-VT__R4F1_RN1RP1,427540.0
20180222-57WIsaVB-VT__R4F2_RN1RP2,462153.0
20180222-57WIsaVB-VT__R4F3_RN1RP3,479948.0
20180222-57WIsaVH-VT__R6F1_RN1RP1,355603.0
20180222-57WIsaVH-VT__R6F2_RN1RP2,306524.0
20180222-57WIsaVH-VT__R6F3_RN1RP3,361235.0
20180222-57WIsaVL-VT__R6F4_RN1RP1,348171.0
20180222-57WIsaVL-VT__R6F5_RN1RP2,419059.0
20180222-57WIsaVL-VT__R6F6_RN1RP3,312672.0
20180222-70OOooVH-VT__R7F4_RN1RP3,423631.0
20180222-71NYsaSL-VV__R2F8_RN2RP1,21225.0
20180222-71NYsaSL-VV__R2F9_RN2RP2,308075.0
20180222-71NYsaSL-VV__R2F10_RN2RP3,414270.0
20180222-71OOooPA-VV__R5F1_RN1RP1,12099.0
20180222-71OOooPA-VV__R5F2_RN1RP2,12895.0
20180222-71OOooPA-VV__R5F3_RN1RP3,13934.0
20180222-71OOsaSL-VV__R2F11_RN2RP1,422188.0
20180222-71OOsaSL-VV__R2F12_RN2RP2,438724.0
20180222-71OOsaSL-VV__R2F13_RN2RP3,440436.0
20180222-71WIooPA-VV__R2F18_RN2RP1,10505.0
20180222-71WIooPA-VV__R2F19_RN2RP2,6996.0
20180222-71WIooPA-VV__R2F20_RN2RP3,9499.0
20180222-71WIsaSL-VV__R2F1_RN2RP1,16125.0
20180222-71WIsaSL-VV__R2F2_RN2RP2,14749.0
20180222-71WIsaSL-VV__R2F3_RN2RP3,17137.0
20180222-71WIsaSV-VV__R2F4_RN2RP1,30488.0
20180222-71WIsaSV-VV__R2F5_RN2RP2,37789.0
20180222-71WIsaSV-VV__R2F6_RN2RP3,39474.0
